team,rating,date
Western Sydney,22.1,2022-04-12 04:30:46.841847
Shrewsbury,21.7,2022-04-12 04:30:46.841847
Macarthur FC,21.6,2022-04-12 04:30:46.841847
Vicenza,21.5,2022-04-12 04:30:46.841847
Shenhua,21.5,2022-04-12 04:30:46.841847
Shonan,21.4,2022-04-12 04:30:46.841847
Adelaide United,21.4,2022-04-12 04:30:46.841847
El Paso,21.4,2022-04-12 04:30:46.841847
Erzgebirge Aue,21.3,2022-04-12 04:30:46.841847
Seraing,21.0,2022-04-12 04:30:46.841847
C.S. Switchbacks,21.0,2022-04-12 04:30:46.841847
Henan Jianye,20.9,2022-04-12 04:30:46.841847
Hebei CF,20.9,2022-04-12 04:30:46.841847
HamKam,20.8,2022-04-12 04:30:46.841847
Varbergs BoIS,20.7,2022-04-12 04:30:46.841847
Orange County,20.7,2022-04-12 04:30:46.841847
SuperSport Utd,20.5,2022-04-12 04:30:46.841847
New Mexico,20.4,2022-04-12 04:30:46.841847
Sacramento,20.1,2022-04-12 04:30:46.841847
Pittsburgh,19.9,2022-04-12 04:30:46.841847
Alashkert FC,19.9,2022-04-12 04:30:46.841847
Dalian Yifang,19.9,2022-04-12 04:30:46.841847
Cape Town City,19.9,2022-04-12 04:30:46.841847
Wuhan Zall,19.9,2022-04-12 04:30:46.841847
Charlton Athletic,19.7,2022-04-12 04:30:46.841847
Alessandria,19.7,2022-04-12 04:30:46.841847
Western United,19.5,2022-04-12 04:30:46.841847
Rodez,19.4,2022-04-12 04:30:46.841847
Nancy,19.2,2022-04-12 04:30:46.841847
Dunkerque,19.1,2022-04-12 04:30:46.841847
Brisbane Roar,19.0,2022-04-12 04:30:46.841847
C.C. Mariners,18.7,2022-04-12 04:30:46.841847
Guangzhou R&F,18.6,2022-04-12 04:30:46.841847
Lincoln City,18.6,2022-04-12 04:30:46.841847
Pordenone,18.5,2022-04-12 04:30:46.841847
Cheltenham,18.3,2022-04-12 04:30:46.841847
Birmingham,18.3,2022-04-12 04:30:46.841847
Degerfors,18.2,2022-04-12 04:30:46.841847
US Quevilly,17.8,2022-04-12 04:30:46.841847
The Miami FC,17.7,2022-04-12 04:30:46.841847
Chongqing Lifan,17.5,2022-04-12 04:30:46.841847
Lamia,17.3,2022-04-12 04:30:46.841847
Cosenza,17.2,2022-04-12 04:30:46.841847
Tianjin Quanjian,17.1,2022-04-12 04:30:46.841847
W. Phoenix,17.0,2022-04-12 04:30:46.841847
Bloem Celtic,17.0,2022-04-12 04:30:46.841847
Shenzhen,16.7,2022-04-12 04:30:46.841847
Jerv,16.4,2022-04-12 04:30:46.841847
Helsingborgs,16.1,2022-04-12 04:30:46.841847
Värnamo,15.9,2022-04-12 04:30:46.841847
RGV Toros,15.9,2022-04-12 04:30:46.841847
Port Vale,15.7,2022-04-12 04:30:46.841847
Golden Arrows,15.4,2022-04-12 04:30:46.841847
Bristol Rovers,15.2,2022-04-12 04:30:46.841847
Salford City,15.2,2022-04-12 04:30:46.841847
Forest Green,15.1,2022-04-12 04:30:46.841847
Perth Glory,14.9,2022-04-12 04:30:46.841847
Mansfield Town,14.7,2022-04-12 04:30:46.841847
Sundsvall,14.7,2022-04-12 04:30:46.841847
Cambridge,14.5,2022-04-12 04:30:46.841847
Stanley,14.4,2022-04-12 04:30:46.841847
Burton Albion,14.4,2022-04-12 04:30:46.841847
Memphis 901,14.4,2022-04-12 04:30:46.841847
Stellenbosch,14.3,2022-04-12 04:30:46.841847
FC Tulsa,14.2,2022-04-12 04:30:46.841847
Oakland Roots,14.1,2022-04-12 04:30:46.841847
Fleetwood Town,14.1,2022-04-12 04:30:46.841847
Lincoln Red Imps,14.0,2022-04-12 04:30:46.841847
Exeter City,13.9,2022-04-12 04:30:46.841847
AmaZulu,13.5,2022-04-12 04:30:46.841847
Apollon Smyrni,13.3,2022-04-12 04:30:46.841847
Hartford Athletic,13.2,2022-04-12 04:30:46.841847
Newport County,12.9,2022-04-12 04:30:46.841847
Swindon Town,12.9,2022-04-12 04:30:46.841847
Marumo Gallants,12.3,2022-04-12 04:30:46.841847
Sekhukhune,12.1,2022-04-12 04:30:46.841847
Maritzburg Utd,12.1,2022-04-12 04:30:46.841847
Beijing Renhe,12.0,2022-04-12 04:30:46.841847
Detroit City,11.8,2022-04-12 04:30:46.841847
Sutton United,11.3,2022-04-12 04:30:46.841847
Tranmere Rovers,10.6,2022-04-12 04:30:46.841847
Morecambe,10.4,2022-04-12 04:30:46.841847
Chippa United,10.1,2022-04-12 04:30:46.841847
Indy Eleven,10.1,2022-04-12 04:30:46.841847
Crawley Town,9.8,2022-04-12 04:30:46.841847
Leyton Orient,9.7,2022-04-12 04:30:46.841847
Moroka Swallows,9.5,2022-04-12 04:30:46.841847
Wimbledon,9.4,2022-04-12 04:30:46.841847
LA Galaxy II,9.2,2022-04-12 04:30:46.841847
Gillingham,9.1,2022-04-12 04:30:46.841847
Charleston,9.0,2022-04-12 04:30:46.841847
Northampton,8.9,2022-04-12 04:30:46.841847
TS Galaxy,8.6,2022-04-12 04:30:46.841847
Monterey Bay,8.4,2022-04-12 04:30:46.841847
Las Vegas Lights,8.3,2022-04-12 04:30:46.841847
Baroka,8.0,2022-04-12 04:30:46.841847
Atlanta United 2,7.8,2022-04-12 04:30:46.841847
Bradford City,7.5,2022-04-12 04:30:46.841847
Rochdale,7.3,2022-04-12 04:30:46.841847
Doncaster,6.8,2022-04-12 04:30:46.841847
Walsall,6.7,2022-04-12 04:30:46.841847
Harrogate Town,6.7,2022-04-12 04:30:46.841847
Colchester,6.6,2022-04-12 04:30:46.841847
Barrow,6.6,2022-04-12 04:30:46.841847
Carlisle United,6.6,2022-04-12 04:30:46.841847
Oldham Athletic,6.6,2022-04-12 04:30:46.841847
Loudoun United,6.5,2022-04-12 04:30:46.841847
Crewe Alexandra,6.2,2022-04-12 04:30:46.841847
Hartlepool,6.1,2022-04-12 04:30:46.841847
NY Red Bulls II,6.0,2022-04-12 04:30:46.841847
Stevenage,5.9,2022-04-12 04:30:46.841847
Scunthorpe,3.3,2022-04-12 04:30:46.841847
